iter	Passed	Remaining
588	4710	3286
589	4718	3278
590	4725	3270
591	4733	3262
592	4742	3255
593	4752	3248
594	4762	3241
595	4770	3233
596	4779	3226
597	4787	3218
598	4796	3210
599	4805	3203
600	4813	3195
601	4822	3188
602	4830	3180
603	4840	3173
604	4848	3165
605	4858	3158
606	4866	3150
607	4876	3144
608	4886	3137
609	4899	3132
610	4910	3126
611	4921	3120
612	4933	3114
613	4947	3110
614	4961	3105
615	4974	3101
616	4986	3095
617	5001	3091
618	5014	3086
619	5027	3081
620	5039	3075
621	5050	3069
622	5061	3063
623	5072	3056
624	5081	3049
625	5090	3041
626	5099	3033
627	5108	3026
628	5118	3019
629	5128	3011
630	5138	3004
631	5149	2998
632	5160	2991
633	5170	2985
634	5179	2977
635	5188	2969
636	5198	2962
637	5208	2955
638	5219	2948
639	5228	2941
640	5237	2933
641	5248	2926
642	5256	2918
643	5268	2912
644	5279	2905
645	5287	2897
646	5297	2890
647	5306	2882
648	5315	2874
649	5323	2866
650	5333	2859
651	5343	2852
652	5353	2844
653	5364	2838
654	5374	2830
655	5382	2822
656	5390	2814
657	5399	2806
658	5408	2798
659	5416	2790
660	5425	2782
661	5433	2774
662	5442	2766
663	5450	2758
664	5459	2750
665	5467	2741
666	5476	2734
667	5484	2726
668	5493	2717
669	5501	2709
670	5509	2701
671	5517	2693
672	5526	2685
673	5536	2677
674	5545	2670
675	5556	2663
676	5568	2656
677	5577	2648
678	5588	2642
679	5598	2634
680	5608	2627
681	5619	2620
682	5629	2612
683	5639	2605
684	5649	2598
685	5659	2590
686	5670	2583
687	5679	2575
688	5687	2567
689	5696	2559
690	5704	2550
691	5712	2542
692	5720	2534
693	5728	2525
694	5736	2517
695	5744	2509
696	5752	2500
697	5761	2492
698	5770	2484
699	5778	2476
700	5787	2468
701	5796	2460
702	5804	2452
703	5813	2444
704	5821	2435
705	5830	2428
706	5839	2419
707	5848	2412
708	5856	2403
709	5865	2395
710	5874	2387
711	5883	2379
712	5892	2371
713	5900	2363
714	5908	2355
715	5917	2346
716	5925	2338
717	5933	2330
718	5941	2321
719	5949	2313
720	5958	2305
721	5966	2297
722	5976	2289
723	5985	2281
724	5994	2273
725	6003	2265
726	6013	2258
727	6023	2250
728	6035	2243
729	6046	2236
730	6055	2228
731	6067	2221
732	6078	2214
733	6090	2207
734	6099	2199
735	6109	2191
736	6118	2183
737	6128	2175
738	6138	2168
739	6148	2160
740	6157	2152
741	6166	2144
742	6177	2136
743	6190	2130
744	6199	2122
745	6210	2114
746	6219	2106
747	6229	2098
748	6238	2090
749	6246	2082
750	6257	2074
751	6265	2066
752	6275	2058
753	6284	2050
754	6293	2042
755	6302	2034
756	6311	2025
757	6320	2017
758	6329	2009
759	6338	2001
760	6349	1994
761	6359	1986
762	6368	1978
763	6378	1970
764	6389	1962
765	6400	1955
766	6409	1947
767	6420	1939
768	6430	1931
769	6440	1923
770	6451	1916
771	6461	1908
772	6471	1900
773	6482	1892
774	6490	1884
775	6500	1876
776	6508	1867
777	6517	1859
778	6525	1851
779	6533	1842
780	6541	1834
781	6549	1825
782	6558	1817
783	6566	1809
784	6574	1800
785	6582	1792
786	6591	1783
787	6600	1775
788	6609	1767
789	6618	1759
790	6628	1751
791	6638	1743
792	6646	1734
793	6654	1726
794	6663	1718
795	6671	1709
796	6680	1701
797	6688	1693
798	6696	1684
799	6705	1676
800	6713	1667
801	6722	1659
802	6731	1651
803	6739	1642
804	6747	1634
805	6755	1625
806	6763	1617
807	6771	1609
808	6779	1600
809	6787	1592
810	6795	1583
811	6804	1575
812	6813	1567
813	6822	1558
814	6831	1550
815	6839	1542
816	6848	1533
817	6856	1525
818	6866	1517
819	6874	1509
820	6883	1500
821	6891	1492
822	6899	1483
823	6908	1475
824	6916	1467
825	6926	1459
826	6935	1450
827	6943	1442
828	6951	1433
829	6959	1425
830	6968	1417
831	6976	1408
832	6984	1400
833	6992	1391
834	7000	1383
835	7008	1374
836	7017	1366
837	7026	1358
838	7035	1349
839	7043	1341
840	7052	1333
841	7060	1324
842	7068	1316
843	7077	1308
844	7085	1299
845	7094	1291
846	7103	1283
847	7111	1274
848	7120	1266
849	7128	1258
850	7137	1249
851	7146	1241
852	7155	1233
853	7162	1224
854	7171	1216
855	7179	1207
856	7187	1199
857	7195	1190
858	7204	1182
859	7214	1174
860	7224	1166
861	7233	1158
862	7243	1149
863	7252	1141
864	7261	1133
865	7270	1124
866	7278	1116
867	7290	1108
868	7300	1100
869	7312	1092
870	7324	1084
871	7335	1076
872	7345	1068
873	7356	1060
874	7366	1052
875	7379	1044
876	7388	1036
877	7398	1028
878	7409	1019
879	7419	1011
880	7429	1003
881	7439	995
882	7449	987
883	7459	978
884	7469	970
885	7478	962
886	7488	954
887	7499	945
888	7509	937
889	7518	929
890	7526	920
891	7534	912
892	7544	903
893	7553	895
894	7564	887
895	7573	879
896	7581	870
897	7590	862
898	7598	853
899	7606	845
900	7614	836
901	7622	828
902	7630	819
903	7639	811
904	7651	803
905	7659	794
906	7668	786
907	7676	777
908	7686	769
909	7695	761
910	7703	752
911	7712	744
912	7720	735
913	7730	727
914	7739	719
915	7749	710
916	7759	702
917	7769	694
918	7778	685
919	7787	677
920	7795	668
921	7804	660
922	7812	651
923	7821	643
924	7830	634
925	7839	626
926	7848	618
927	7858	609
928	7868	601
929	7877	592
930	7886	584
931	7895	576
932	7904	567
933	7913	559
934	7923	550
935	7933	542
936	7943	534
937	7951	525
938	7961	517
939	7971	508
940	7980	500
941	7988	491
942	7997	483
943	8005	474
944	8015	466
945	8024	458
946	8033	449
947	8042	441
948	8051	432
949	8061	424
950	8070	415
951	8079	407
952	8088	398
953	8097	390
954	8107	382
955	8115	373
956	8125	365
957	8134	356
958	8143	348
959	8152	339
960	8160	331
961	8170	322
962	8179	314
963	8189	305
964	8199	297
965	8207	288
966	8216	280
967	8225	271
968	8233	263
969	8241	254
970	8249	246
971	8257	237
972	8266	229
973	8276	220
974	8286	212
975	8297	204
976	8305	195
977	8314	187
978	8325	178
979	8333	170
980	8342	161
981	8350	153
982	8360	144
983	8369	136
984	8378	127
985	8388	119
986	8397	110
987	8406	102
988	8416	93
989	8426	85
990	8436	76
991	8447	68
992	8457	59
993	8467	51
994	8478	42
995	8490	34
996	8501	25
997	8512	17
998	8522	8
999	8532	0
